name,calories,carbohydrate,total_fat,protein,cluster,day
"Alcoholic beverages, higher alcohol, beer",58.0,0.27,0.0,0.9,0,Friday
"Snacks, salted, soy chips or crisps",385.0,53.15,7.4,26.5,1,Friday
"Puddings, instant, dry mix, coconut cream",415.0,83.5,10.0,0.9,1,Friday
"Fast foods, and bacon, cheese, egg, griddle cake sandwich",272.0,26.19,13.0,12.03,1,Friday
"Chicken, roasted, meat and skin and giblets and neck, broilers or fryers",234.0,0.06,13.0,26.78,1,Friday
"Candies, M&M MARS Pretzel Chocolate Candies",447.0,72.94,15.0,5.0,2,Friday
"Okra, with salt, drained, boiled, cooked",22.0,4.51,0.2,1.87,0,Friday
"Pitanga, raw, (surinam-cherry)",33.0,7.49,0.4,0.8,0,Friday
"Infant formula, powder, LIPIL, Toddler, Soy, ENFAGROW, ENFAMIL, MEAD JOHNSON",470.0,56.0,21.0,15.7,2,Friday
"Corn with red and green peppers, solids and liquids, canned",75.0,18.17,0.6,2.33,0,Friday
"MURRAY, Chocolate Creme Sandwich Cookies",473.0,71.3,19.0,4.9,2,Friday
"Pork, raw, spleen, variety meats and by-products, fresh",100.0,0.0,2.6,17.86,0,Friday
"Orange juice, with added calcium, diluted with 3 volume water, unsweetened, frozen concentrate",37.0,8.47,0.1,0.6,0,Friday
"Puddings, regular, dry mix, banana",366.0,93.0,0.4,0.0,1,Friday
"PILLSBURY Golden Layer Buttermilk Biscuits, refrigerated dough, Artificial Flavor",307.0,41.18,13.0,5.88,1,Friday
"Pizza rolls, unprepared, frozen",328.0,50.72,10.0,8.73,1,Friday
"Cookies, baked, refrigerated dough, peanut butter",503.0,57.3,28.0,9.1,2,Friday
"Beverages, prepared with distilled water, brewed, black, tea",1.0,0.3,0.0,0.0,0,Friday
"Bread, white, reduced-calorie",207.0,44.3,2.5,8.7,1,Friday
"Soup, ready-to-serve, canned, lentil with ham",56.0,8.16,1.1,3.74,0,Friday
"Tofu, prepared with calcium sulfate and magnesium chloride (nigari), firm",78.0,2.85,4.2,9.04,0,Friday
"School Lunch, cooked, frozen, whole grain, thin crust, cheese topping, pizza",247.0,31.31,7.9,12.72,1,Friday
"Wheat, uncooked, KAMUT khorasan",337.0,70.58,2.1,14.54,1,Friday
"Beverages, prepared with whole milk, chocolate syrup",90.0,12.78,3.0,3.07,0,Friday
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye steak",303.0,0.0,24.0,22.92,1,Friday
"Drumstick pods, without salt, drained, boiled, cooked",36.0,8.18,0.2,2.09,0,Friday
"Spanish rice mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine), dry mix",125.0,22.74,2.4,3.27,0,Friday
"Babyfood, peach yogurt, dessert",76.0,17.6,0.2,0.9,0,Friday
"Cereals ready-to-eat, KELLOGG'S RICE KRISPIES TREATS Cereal, KELLOGG",395.0,85.59,4.2,4.3,1,Friday
"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",338.0,0.0,27.0,21.55,1,Friday
"Beef, raw, seam fat, grass-fed, imported, Australian",562.0,1.06,58.0,9.58,2,Friday
"KASHI, Sea Salt, Pita Crisps, TLC",381.0,72.4,9.2,10.5,1,Friday
"Seeds, dried (decorticated), sesame seed kernels",631.0,11.73,61.0,20.45,2,Friday
"Soup, ready-to-serve, canned, reduced sodium, chunky vegetable",50.0,10.28,0.5,1.16,0,Friday
"Snacks, very low sodium, corn cakes",387.0,83.4,2.4,8.1,1,Friday
"KEEBLER, Honey Wheat Crackers, WHEATABLES",482.0,67.0,20.0,7.6,2,Friday
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye steak",267.0,0.0,19.0,25.03,1,Friday
"Peaches, stewed, sulfured, dehydrated (low-moisture)",133.0,34.14,0.4,2.01,0,Friday
"MOTHER'S, Iced Lemonade Cookies",502.0,66.3,24.0,4.5,2,Friday
"Alcoholic beverage, light, beer",29.0,1.64,0.0,0.24,0,Friday
"Beverages, sweetened, milk based, ready to drink, coffee",71.0,12.6,1.4,1.98,0,Friday
"Frankfurter, boiled, cooked, meat and poultry",298.0,4.96,26.0,10.31,1,Friday
"Pears, raw, asian",42.0,10.65,0.2,0.5,0,Friday
"Broccoli, without salt, drained, boiled, cooked, spears, frozen",28.0,5.36,0.1,3.1,0,Friday
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, eye of round roast, round",120.0,0.0,3.0,23.28,0,Friday
"Custard-apple, raw, (bullock's-heart)",101.0,25.2,0.6,1.7,0,Friday
"Fish, dry heat, cooked, tilefish",147.0,0.0,4.7,24.49,0,Friday
"USDA Commodity, raw, frozen, bulk/coarse ground, ground, beef",228.0,0.0,17.0,17.37,1,Friday
"Corn flour, white, unenriched, masa",363.0,76.59,3.7,8.46,1,Friday
"Beef, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean only, steak, tenderloin",206.0,0.0,9.1,29.01,1,Friday
"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean only, arm, shoulder, domestic",132.0,0.0,5.2,19.99,0,Friday
"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, roast, bottom round, round",223.0,0.0,12.0,26.05,1,Friday
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, steak, top sirloin",127.0,0.0,3.5,22.27,0,Friday
"Cereals ready-to-eat, cinnamon brown sugar crunch, SPECIAL K protein, KELLOGG'S",356.0,69.8,2.6,22.29,1,Friday
"NABISCO, Cookie Crumb Topping, NABISCO OREO CRUNCHIES",476.0,70.23,22.0,4.78,2,Friday
"WORTHINGTON Choplets, unprepared, canned",103.0,4.1,1.0,19.4,0,Friday
"Chicken, roasted, cooked, with added solution, meat only, thigh, dark meat",164.0,0.0,7.7,24.23,0,Friday
"Infant Formula, ready-to-feed, Newborn, Premium, ENFAMIL, MEAD JOHNSON",66.0,7.39,3.5,1.38,0,Friday
"KELLOGG'S, Chocolate Chip, Mini Muffin Tops, EGGO",300.0,45.0,11.0,5.2,1,Friday
"Celery, without salt, drained, boiled, cooked",18.0,4.0,0.2,0.83,0,Friday
"Shortening frying (heavy duty), linoleic (less than 1%), soybean (hydrogenated)",884.0,0.0,100.0,0.0,2,Friday
"DOMINO'S 14"" Sausage Pizza, Classic Hand-Tossed Crust",273.0,31.84,11.0,11.08,1,Friday
"POPEYES, Skin and Breading, Mild, Fried Chicken",433.0,21.54,32.0,13.96,1,Friday
"BURGER KING, Hamburger",261.0,26.76,11.0,14.85,1,Friday
"Fast foods, large patty; with condiments, cheeseburger; double",272.0,14.43,16.0,16.96,1,Friday
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye steak",291.0,0.0,22.0,23.69,1,Friday
"Polish sausage, pork",326.0,1.63,29.0,14.1,1,Friday
"Pasta, cooked, remaining unenriched semolina, 51% whole wheat, whole grain",159.0,31.51,1.5,5.82,0,Friday
"Pudding, egg yolk and water, prepared with sugar, regular, dry mix, lemon",109.0,24.2,1.1,0.65,0,Friday
"KEEBLER, Dark Chocolate, Cheesecake Middles, FUDGE SHOPPE",506.0,64.7,27.0,4.4,2,Friday
"CRACKER BARREL, grilled sirloin steak",203.0,0.0,8.5,31.52,0,Friday
"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean only, porterhouse steak, short loin",194.0,0.0,8.8,26.89,0,Friday
"Cherries, solids and liquids, light syrup pack, canned, sweet",67.0,17.29,0.2,0.61,0,Friday
"Beef, fast roasted, cooked, separable lean and fat, bolar blade, imported, New Zealand",228.0,0.0,11.0,31.3,1,Friday
"Pork, roasted, cooked, separable lean only, whole, shoulder, fresh",230.0,0.0,14.0,25.33,1,Friday
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, loin, fresh, imported, Australian",146.0,0.0,6.2,21.0,0,Friday
"Soup, prepared with equal volume milk, canned, cream of onion",75.0,7.4,3.8,2.74,0,Friday
"Veal, roasted, cooked, separable lean only, arm, shoulder",164.0,0.0,5.8,26.13,0,Friday
"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, steak, bottom round, round",217.0,0.0,7.7,34.39,1,Friday
"Cornmeal, enriched, degermed, self-rising, yellow",355.0,74.79,1.7,8.41,1,Friday
"Pork, raw, ground, fresh",263.0,0.0,21.0,16.88,1,Friday
"Nuts, dried, ginkgo nuts",348.0,72.45,2.0,10.35,1,Friday
"Turkey, roasted, with added solution, meat only, from whole bird, thigh",158.0,0.0,6.0,26.1,0,Friday
"Babyfood, toddler, chicken and noodle with vegetables, dinner",66.0,8.89,1.7,3.8,0,Friday
"PREGO Pasta, ready-to-serve, Garlic Supreme Italian Sauce",85.0,13.08,3.1,1.54,0,Friday
"Chicken, fried, cooked, giblets, broilers or fryers",277.0,4.35,13.0,32.54,1,Friday
"Candies, sugar-coated almonds",474.0,68.26,18.0,10.0,2,Friday
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean and fat, tri-tip roast, bottom sirloin",211.0,0.0,11.0,26.05,1,Friday
"Yogurt, nonfat, vanilla, Greek",78.0,10.37,0.2,8.64,0,Friday
"Lemon juice from concentrate, CONCORD, bottled",24.0,5.37,0.1,0.4,0,Friday
"Noodles, with added salt, enriched, cooked, egg",138.0,25.16,2.1,4.54,0,Friday
"Beef, pan-broiled, cooked, patty, 80% lean meat / 20% fat, ground",246.0,0.0,16.0,24.04,1,Friday
"Pork, pan-broil, heated, separable lean and fat, boneless, slice, ham with natural juices, cured",118.0,1.04,3.4,20.89,0,Friday
"Pie, commercially prepared, blueberry",232.0,34.9,10.0,1.8,1,Friday
"Pork, roasted, cooked, separable lean only, arm picnic, shoulder, fresh",228.0,0.0,13.0,26.68,1,Friday
"Oil, sheanut",884.0,0.0,100.0,0.0,2,Friday
"School Lunch, frozen, TONY'S SMARTPIZZA Whole Grain 4x6 Pepperoni Pizza 50/50 Cheese, pizza",238.0,28.84,8.2,12.14,1,Friday
"Snacks, unsalted, made with unenriched flour, plain, hard, pretzels",381.0,79.2,3.5,9.1,1,Friday
"Beverages, prepared with whole milk, powder, natural, Malted drink mix",88.0,10.23,3.6,3.86,0,Friday
"Puddings, dry mix, instant, low calorie, chocolate flavor",356.0,78.2,2.4,5.3,1,Friday
"Soybeans, steamed, cooked, sprouted, mature seeds",81.0,6.53,4.5,8.47,0,Friday
"Restaurant, tripe soup, Latino",74.0,4.07,2.6,8.61,0,Friday
"Infant formula, powder, LIPIL, Toddler, GENTLEASE, ENFAGROW, ENFAMIL, MEAD JOHNSON",494.0,52.0,26.0,12.9,2,Friday
"Seeds, partially defatted, sunflower seed flour",326.0,35.83,1.6,48.06,1,Friday
"Peppermint, fresh",70.0,14.89,0.9,3.75,0,Friday
"Corn, with salt, drained, boiled, cooked, yellow, sweet",96.0,20.98,1.5,3.41,0,Friday
"Chili with beans, microwavable bowls",100.0,10.88,3.7,5.85,0,Friday
"Ostrich, cooked, inside strip",164.0,0.0,4.3,29.37,0,Friday
"Cereals ready-to-eat, COUNT CHOCULA, GENERAL MILLS",383.0,84.5,4.7,5.4,1,Friday
"Lamb, braised, cooked, trimmed to 1/8"" fat, separable lean only, bone-in, heel on, hindshank, leg, fresh, imported, Australian",174.0,0.0,5.6,30.73,0,Friday
"Beverages, Orchard Blend, V8 SPLASH Juice Drinks",33.0,7.82,0.0,0.0,0,Friday
"Chickpeas (garbanzo beans, bengal gram), raw, mature seeds",378.0,62.95,6.0,20.47,1,Friday
"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean only, lip-on, bone-in, rib eye roast",240.0,0.0,15.0,27.18,1,Friday
"Fish, dry heat, cooked, Atlantic, ocean perch",96.0,0.0,1.9,18.51,0,Friday
"Oranges, with peel, raw",63.0,15.5,0.3,1.3,0,Friday
"Taro, raw",112.0,26.46,0.2,1.5,0,Friday
"Gourd, raw, dishcloth (towelgourd)",20.0,4.35,0.2,1.2,0,Friday
"DIGIORNO Pizza, baked, frozen, cheese stuffed crust, cheese topping",279.0,29.86,12.0,13.48,1,Friday
"Lamb, fast roasted, cooked, separable lean and fat, rack - fully frenched, imported, New Zealand",195.0,0.01,11.0,23.56,0,Friday
"Nuts, peeled, raw, european, chestnuts",196.0,44.17,1.3,1.63,0,Friday
"Egg, fried, cooked, whole",196.0,0.83,15.0,13.61,0,Friday
"Beef, pan-broiled, patty cooked, 70% lean meat / 30% fat, ground",238.0,0.0,16.0,22.86,1,Friday
"Seaweed, rehydrated, Canadian Cultivated EMI-TSUNOMATA",31.0,5.62,0.2,1.86,0,Friday
"Oil, soybean lecithin",763.0,0.0,100.0,0.0,2,Friday
"Cereals ready-to-eat, POST Bran Flakes",328.0,80.5,2.1,9.9,1,Friday
"Candies, Tropical fruits, STARBURST Fruit Chews, MARS SNACKFOOD US",409.0,82.76,8.3,0.41,1,Friday
"Milk, without added vitamin A, with added nonfat milk solids, 2% milkfat, fluid, reduced fat",56.0,5.49,2.0,3.95,0,Friday
"Crackers, sandwich-type with cheese filling, rye",481.0,60.8,22.0,9.2,2,Friday
"Beverages, caffeine free, cola, ZEVIA",0.001,1.13,0.0,0.0,0,Friday
"Pork, raw, separable lean only, country-style ribs, loin, fresh",140.0,0.0,5.6,20.76,0,Friday
"Veal, raw, separable lean and fat, whole (arm and blade), shoulder",130.0,0.0,5.3,19.27,0,Friday
"Soup, condensed, canned, oyster stew",48.0,3.32,3.1,1.72,0,Friday
"Cheese, reduced fat, dry grated, parmesan",265.0,1.37,20.0,20.0,1,Friday
"PREGO Pasta, ready-to-serve, Chunky Garden Mushroom and Green Pepper Italian Sauce",69.0,10.0,2.3,1.54,0,Friday
"Peas and carrots, without salt, drained, boiled, cooked, frozen",48.0,10.12,0.4,3.09,0,Friday
"Puddings, prepared with whole milk, instant, dry mix, coconut cream",117.0,19.1,3.5,2.9,0,Friday
"KEEBLER, Original, Snack Sticks, CLUB Crackers",475.0,65.0,22.0,6.0,2,Friday
"Fish, (Alaska Native), kippered, with skin, king, salmon",209.0,0.0,13.0,23.19,1,Friday
"Cherries, solids and liquids, extra heavy syrup pack, canned, red, sour",114.0,29.23,0.1,0.71,0,Friday
"Beef, raw, Aust. marble score 4/5, separable lean and fat, boneless, tenderloin steak/roast, loin, Wagyu, imported, Australian",206.0,0.0,14.0,19.71,1,Friday
"Soup, ready-to-serve, canned, chunky chicken noodle",41.0,4.46,1.2,3.09,0,Friday
"Candies, BABY RUTH Bar, NESTLE",459.0,64.8,22.0,5.4,2,Friday
"Chicken, braised, cooked, with added solution, meat only, thigh, dark meat",164.0,0.0,8.0,23.0,0,Friday
"Lamb, roasted, cooked, separable lean and fat, whole (shank and sirloin), leg, frozen, imported, New Zealand",246.0,0.0,16.0,24.81,1,Friday
"Mollusks, moist heat, cooked, wild, eastern, oyster",102.0,5.45,3.4,11.42,0,Friday
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, top round roast, round",158.0,0.06,4.1,30.24,0,Friday
"Roselle, raw",49.0,11.31,0.6,0.96,0,Friday
"Turkey, raw, meat and skin, wing, all classes",197.0,0.0,12.0,20.22,0,Friday
"Pastrami, 98% fat-free, beef",95.0,1.54,1.2,19.6,0,Friday
"Lamb, soaked and fried, cooked, liver, imported, New Zealand",168.0,1.48,6.6,25.8,0,Friday
"Ham, canned, chopped",239.0,0.26,19.0,16.06,1,Friday
"Cowpeas, raw, young pods with seeds",44.0,9.5,0.3,3.3,0,Friday
"Snacks, all flavors, DIPPS, QUAKER, granola bar",480.0,64.96,20.0,7.52,2,Friday
"Restaurant, spaghetti and meatballs, family style",170.0,15.51,8.5,7.84,0,Friday
"Yogurt parfait, with fruit and granola, lowfat",84.0,15.86,1.0,3.36,0,Friday
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast, chuck",231.0,0.0,11.0,30.45,1,Friday
"Pickle relish, hot dog",91.0,23.35,0.5,1.5,0,Friday
"Snacks, unenriched, cheese-flavor, puffs or twists, extruded, corn-based",558.0,54.1,36.0,5.76,2,Friday
"Sweet potato, vacuum pack, canned",91.0,21.12,0.2,1.65,0,Friday
"Grapes, raw, american type (slip skin)",67.0,17.15,0.4,0.63,0,Friday
"Onions, raw",40.0,9.34,0.1,1.1,0,Friday
"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean only, whole (arm and blade), shoulder, domestic",144.0,0.0,6.8,19.55,0,Friday
"Crackers, with cheese filling, sandwich, wheat",497.0,58.2,25.0,9.8,2,Friday
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, shoulder top and center steaks, shoulder clod, chuck",141.0,0.0,5.9,20.67,0,Friday
"Bacon, low sodium, turkey",253.0,4.8,20.0,13.33,1,Friday
"Soup, condensed, canned, chicken gumbo",45.0,6.67,1.1,2.1,0,Friday
"Lamb, cooked, choice, trimmed to 1/4"" fat, separable fat, composite of trimmed retail cuts, domestic",586.0,0.0,59.0,12.16,2,Friday
"Fish, raw, european, turbot",95.0,0.0,3.0,16.05,0,Friday
"Babyfood, strained, turkey and rice, dinner",52.0,7.94,1.2,2.27,0,Friday
"Candies, with peanut butter, honey-combed",486.0,67.41,20.0,8.72,2,Friday
"Strawberry-flavor beverage mix, powder",389.0,99.1,0.2,0.1,1,Friday
"Crustaceans, breaded and fried, cooked, mixed species, shrimp",242.0,11.47,12.0,21.39,1,Friday
"Vegetables, no salt added, mixed (corn, lima beans, peas, green beans, carrots) canned",37.0,7.31,0.2,1.4,0,Friday
"Pork, raw, separable lean and fat, whole, loin, fresh",198.0,0.0,13.0,19.74,0,Friday
"Sauce, original, KRAFT, barbecue",172.0,40.77,0.6,0.74,0,Friday
"Beef, braised, cooked, select, trimmed to 1/8"" fat, separable lean only, steak, bottom round, round",205.0,0.0,6.4,34.46,1,Friday
"Cowpeas, without salt, drained, boiled, cooked, young pods with seeds",34.0,7.0,0.3,2.6,0,Friday
"Guava nectar, with added ascorbic acid, canned",63.0,16.25,0.1,0.09,0,Friday
"Grapefruit, all areas, pink and red, raw",42.0,10.66,0.1,0.77,0,Friday
"Babyfood, fruit supreme dessert",73.0,17.18,0.2,0.5,0,Friday
"GARDENBURGER Black Bean Chipotle Burger, unprepared, frozen",133.0,22.0,3.9,6.5,0,Friday
"Babyfood, strained, with applesauce and bananas, oatmeal, cereal",74.0,15.4,0.7,1.3,0,Friday
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, boneless, flat half, brisket",165.0,0.0,9.3,20.32,0,Friday
"Beef, raw, separable lean only, brisket navel end, imported, New Zealand",194.0,0.0,13.0,19.74,0,Friday
"Elk, cooked (Shoshone Bannock), eye of round, roast, free range",148.0,0.0,2.9,30.56,0,Friday
"Game meat, roasted, cooked, caribou",167.0,0.0,4.4,29.77,0,Friday
"Fish, raw, tilapia",96.0,0.0,1.7,20.08,0,Friday
"Fish, raw (Alaska Native), sockeye (red), salmon",153.0,0.0,7.3,21.94,0,Friday
"Cherries, solids and liquids, extra heavy syrup pack, canned, sweet",102.0,26.23,0.2,0.59,0,Friday
"Breakfast bar, corn flake crust with fruit",377.0,72.9,7.5,4.4,1,Friday
"Beef, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, steak, tenderloin",273.0,0.0,18.0,26.43,1,Friday
"MURRAY, Duplex Creme Sandwich Cookies",475.0,72.6,19.0,4.9,2,Friday
"Cereals ready-to-eat, Wheat CHEX, GENERAL MILLS",345.0,82.2,1.8,9.8,1,Friday
"Potatoes, skin, raw",58.0,12.44,0.1,2.57,0,Friday
"Mollusks, baked or broiled, conch",130.0,1.7,1.2,26.3,0,Friday
"Restaurant, spanish rice, Mexican",185.0,31.16,5.3,3.28,0,Friday
"Mollusks, raw, blue, mussel",86.0,3.69,2.2,11.9,0,Friday
"Cereals ready-to-eat, KELLOGG'S Low Fat Granola without Raisins, KELLOGG",389.0,80.9,5.7,8.7,1,Friday
Catsup,101.0,27.4,0.1,1.04,0,Friday
"Turkey, raw, meat only, drumstick, retail parts",118.0,0.0,4.0,20.52,0,Friday
"Margarine, with salt, stick, composite, 80% fat, regular",717.0,0.7,81.0,0.16,2,Friday
"Squash, raw, butternut, winter",45.0,11.69,0.1,1.0,0,Friday
"Whale, skin and subcutaneous fat (muktuk) (Alaska Native), bowhead",465.0,0.0,46.0,12.6,2,Friday
"Peas and onions, unprepared, frozen",70.0,13.51,0.3,3.98,0,Friday
"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, steak, top sirloin",178.0,0.0,5.8,29.42,0,Friday
"Mushrooms, raw, portabella",22.0,3.87,0.4,2.11,0,Friday
"Turnips, raw",28.0,6.43,0.1,0.9,0,Friday
"Beef, braised, cooked, separable lean and fat, brisket navel end, imported, New Zealand",453.0,0.0,41.0,20.14,2,Friday
"KEEBLER, Chocolate Pie Crust, READY CRUST",490.0,67.7,22.0,5.1,2,Friday
"Fish, dried (Alaska Native), whitefish",371.0,0.0,13.0,62.44,1,Friday
"Cereals, prepared with water, with raisins and spice, fortified, instant, oats",88.0,17.91,1.0,1.98,0,Friday
"KEEBLER, Chocolate Chip Cookies, SOFT BATCH",477.0,66.2,22.0,3.6,2,Friday
"CRACKER BARREL, country fried shrimp platter",287.0,21.4,17.0,12.62,1,Friday
"Nuts, without salt added, dry roasted, cashew nuts",574.0,32.69,46.0,15.31,2,Friday
"Cereals ready-to-eat, QUAKER OAT CINNAMON LIFE, QUAKER",374.0,79.02,4.1,9.14,1,Friday
"Pork, raw, tongue, variety meats and by-products, fresh",225.0,0.0,17.0,16.3,1,Friday
"Restaurant, chicken chow mein, Chinese",85.0,8.29,2.8,6.76,0,Friday
"Cornmeal, enriched, with wheat flour added, bolted, self-rising, yellow",348.0,73.43,2.9,8.41,1,Friday
"Spelt, uncooked",338.0,70.19,2.4,14.57,1,Friday
"Candies, prepared-from-recipe, fondant",373.0,93.18,0.0,0.0,1,Friday
"Fish, dry heat, cooked, Atlantic and Pacific, halibut",111.0,0.0,1.6,22.54,0,Friday
"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, rib eye roast",202.0,0.0,9.7,28.72,0,Friday
"Babyfood, toddler, beef stew, dinner",51.0,5.5,1.2,5.1,0,Friday
"Lamb, raw, ground",282.0,0.0,23.0,16.56,1,Friday
"Beef, raw, brain, variety meats and by-products",143.0,1.05,10.0,10.86,0,Friday
"Beverages, lemon, ready-to-drink, black, tea, LIPTON BRISK",35.0,8.81,0.0,0.0,0,Friday
"Eggs, frozen mixture, scrambled",131.0,7.5,5.6,13.1,0,Friday
"Fruit salad, solids and liquids, light syrup, canned, (peach and pear and apricot and pineapple and cherry)",58.0,15.14,0.1,0.34,0,Friday
"Milk, fluid, mature, human",70.0,6.89,4.4,1.03,0,Friday
"Balsam-pear (bitter gourd), with salt, drained, boiled, cooked, pods",19.0,4.32,0.2,0.84,0,Friday
"Barbecue loaf, beef, pork",173.0,6.4,8.9,15.84,0,Friday
"Milk substitutes, with lauric acid oil, fluid",61.0,6.16,3.4,1.75,0,Friday
"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, roast, tenderloin",331.0,0.0,25.0,23.9,1,Friday
"CAMPBELL'S Red and White, condensed, Mega Noodle in Chicken Broth",71.0,11.9,1.6,2.38,0,Friday
"Lamb, braised, cooked, trimmed to 1/8"" fat, separable lean and fat, bone-in, heel on, hindshank, leg, fresh, imported, Australian",204.0,0.0,9.5,29.52,0,Friday
"Crackers, without salt, plain, melba toast",390.0,76.6,3.2,12.1,1,Friday
"Fish, dry heat, cooked, cusk",112.0,0.0,0.9,24.35,0,Friday
"Cheese, with vegetables, cottage",95.0,3.0,4.2,10.9,0,Friday
"Smoked link sausage, nonfat dry milk added, pork and beef",313.0,1.92,28.0,13.28,1,Friday
"KEEBLER, Cookies, ANIMALS",450.0,75.3,14.0,5.6,2,Friday
"Beverages, low calorie, with high vitamin C with other added vitamins, powder, fruit-flavored drink",227.0,91.0,0.2,0.25,1,Friday
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, porterhouse steak, short loin",145.0,0.0,5.4,22.61,0,Friday
"Fast foods, patty and bun; with condiments and vegetables, regular, cheeseburger; double",285.0,23.3,15.0,13.04,1,Friday
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, top round roast, round",121.0,0.0,3.0,23.44,0,Friday
"Game meat, roasted, cooked, goat",143.0,0.0,3.0,27.1,0,Friday
"Fat, chicken",900.0,0.0,100.0,0.0,2,Friday
"Beverages, shelf stable, unsweetened, almond milk",15.0,0.58,1.1,0.59,0,Friday
"Salad Dressing, Omega Plus light, SMART BALANCE, light, mayonnaise",333.0,9.39,34.0,1.53,1,Friday
"MORNINGSTAR FARMS Hot and Spicy Veggie Sausage Patties, unprepared, frozen",185.0,8.5,7.4,21.8,0,Friday
"Chicken, roasted, cooked, meat and skin, wing, broilers or fryers",254.0,0.0,17.0,23.79,1,Friday
"Fish, raw, butterfish",146.0,0.0,8.0,17.28,0,Friday
"Babyfood, junior, with applesauce and bananas, mixed, cereal",83.0,18.4,0.4,1.2,0,Friday
"Cereals ready-to-eat, SPECIAL K Protein Plus, KELLOGG'S",359.0,60.6,2.6,31.2,1,Friday
"Fish, drained solids, canned in oil, light, tuna",198.0,0.0,8.2,29.13,0,Friday
"Beef, broiled, cooked, patty, 75% lean meat / 25% fat, ground",279.0,0.0,19.0,25.56,1,Friday
"Cereals ready-to-eat, Chocolate, CHEERIOS, GENERAL MILLS",380.0,83.5,5.1,5.8,1,Friday
"Peanut butter, vitamin and mineral fortified, smooth",591.0,18.75,51.0,25.72,2,Friday
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, shoulder top blade steak",196.0,0.0,9.2,28.15,0,Friday
"KASHI Three Cheese Ravioli with Mediterranean Tomato Sauce, unprepared, frozen",131.0,19.7,4.2,5.5,0,Friday
"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, roast, tenderloin",316.0,0.0,24.0,23.9,1,Friday
"Turkey, roasted, cooked, meat and skin, dark meat from whole",206.0,0.07,10.0,27.27,1,Friday
"KELLOGG'S, Frosted Strawberry Baked Bites, POP-TARTS MINI CRISPS",440.0,79.1,12.0,4.7,2,Friday
"English muffins, raisin-cinnamon (includes apple-cinnamon)",240.0,48.1,1.8,7.91,1,Friday
"Cookies, without lemon juice and rind, ladyfingers",363.0,59.7,9.1,10.6,1,Friday
"Wheat germ, crude",360.0,51.8,9.7,23.15,1,Friday
"Cheese, queso asadero, mexican",356.0,2.87,28.0,22.6,1,Friday
"POPEYES, meat and skin with breading, Breast, Mild, Fried Chicken",274.0,9.83,16.0,21.67,1,Friday
"Cereals ready-to-eat, Toasted Multigrain Crisps, QUAKER",372.0,74.9,5.1,12.38,1,Friday
"Pizza, cooked, frozen, regular crust, cheese topping",268.0,29.02,12.0,10.36,1,Friday
"PILLSBURY, refrigerated dough, Chocolate Chip Cookies",450.0,60.75,21.0,3.82,2,Friday
"KEEBLER, Reduced Fat, Graham Pie Crust (10""), READY CRUST",472.0,73.5,18.0,4.9,2,Friday
"Beverages, Ready-to-Drink, Nutritional Shake, ENSURE, ABBOTT",105.0,16.88,2.5,3.8,0,Friday
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, boneless, top sirloin cap steak, loin",189.0,1.07,8.0,28.19,0,Friday
"Potatoes, whole milk and margarine added, prepared from flakes without milk, dehydrated, mashed",113.0,15.02,5.6,1.9,0,Friday
"Cabbage, with salt, drained, boiled, cooked, chinese (pak-choi)",12.0,1.78,0.2,1.56,0,Friday
"CHICK-FIL-A, hash browns",301.0,30.51,19.0,3.0,1,Friday
"WENDY'S, with cheese, Double Stack",285.0,15.35,17.0,18.53,1,Friday
